龙岗支行,长江东路2号  [地图],长江批发市场对面,对公：随市政府行政上班时间调整对私：冬季：8:00-17:30  夏季：8:00-18:00,0551-67672008
合肥肥西支行,肥西县上派镇人民中路1号  [地图],人民中路四叉路口,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-68842313
合肥肥东店埠储蓄所,肥东县店埠镇人民路与塘杨路交叉口  [地图],人民路口,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-67711164
合肥肥东支行,肥东县店埠镇公园路26号  [地图],肥东邮局对面,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-67711179
合肥步行街支行,合肥市九狮桥路45号  [地图],百盛广场隔壁,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-62631782
合肥政务文化新区支行,合肥绿地蓝海国际大厦B座  [地图],国际花都门口,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-63490803
合肥经济开发区支行,合肥繁华大道241号  [地图],炊神对面,周一至周五对公：8:30-12:00 14:00-17:00周日休息周一至周日对私：8:30-17:00,0551-63816651
合肥金寨南路支行,合肥市金寨南路401号  [地图],红四方大门口,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-63528229
合肥濉溪路支行,合肥市濉溪路3号  [地图],双岗十字路口,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-65536309
合肥蒙城路支行,合肥市阜南西路166号  [地图],润安大厦一楼,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-62810848
庐阳支行营业部,合肥市寿春路130号  [地图],瑞景购物中心隔壁,周一至周五对公：（冬季）8:00-12:00 14:30-17:30周日休息对公：（夏季）8:00-12:00 15:00-18:00周日休息对私：周一至周日（冬季）8:00-17:30（夏季）8:00-18:00,0551-62645182
蜀山支行,合肥蜀山区黄山路与西二环交口东南角博澳丽苑博澳广场E号楼  [地图],博澳丽苑博澳广场,对公：周一至周五8:00-12:00 15:00-18:00；周六、周日休息对私：周一至周日8:00-18:30,0551-62817772
滨湖支行,滨湖新区紫云路与广西路交口  [地图],滨湖世纪城购物中心东南角,周一至周五对公：8:00-12:00 15:00-18:00对私：8:00-18:00周六日对私：周六8:00-18:00,0551-62912487
新客站支行,合肥市安徽大市场南大门边  [地图],安徽大市场南大门东侧,周一至周五对公：8:00-12:00 15:00-18:00对私：8:00-18:00周六日对私：周六8:00-18:00,0551-64217315
马鞍山路支行,合肥市马鞍山路598号文景雅居1号楼  [地图],家乐福南边,周一至周五对公：8:00-12:00 15:00-18:00对私：8:00-18:00周六日对私：周六8:00-18:00,0551-63412470
长江东路支行,合肥市长江东路692号  [地图],环宇家具西边,周一至周五对公：8:00-12:00 15:00-18:00对私：8:00-18:00周六日对私：周六8:00-18:00,0551-64221641
城东支行营业部,合肥新站开发区万事达广场一号楼  [地图],胜利广场斜对面,周一至周五对公：8:00-12:00 15:00-18:00对私：8:00-18:00周六日对私：周六8:00-18:00,0551-64225769
淮河水利支行,蚌埠市宏业路243号  [地图],安徽财经大学西校区东南角,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-3060694
车站支行,蚌埠市淮河路801号  [地图],第二人民医院东面，火车站西面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-3061036
光彩支行,光彩大市场一期北3#楼3区101、201  [地图],光彩大市场北门东侧,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-4111969
