龙岗支行,长江东路2号  [地图],长江批发市场对面,对公：随市政府行政上班时间调整对私：冬季：8:00-17:30  夏季：8:00-18:00,0551-67672008
当涂支行,当涂县姑孰镇振兴路246号  [地图],当涂县行政服务中心,"对公：周一至周五8：00-1200,14:30-17:00；对私：周一至周日8：00-17：00；",0555-6785296
金家庄支行,马鞍山市金家庄区卫东新村37栋  [地图],5路公交车底站,"对公：周一至周五8：00-1200,14:30-17:00；对私：周一至周日8：00-17：00；",0555-3500544
开发区支行,马鞍山市土地局综合楼  [地图],市政广场西面,"对公：周一至周五8：00-1200,14:30-17:00；对私：周一至周日8：00-17：00；",0555-2221934
佳山支行,马鞍山市新岗五村底商  [地图],卫生大厦对面,"对公：周一至周五8：00-1200,14:30-17:00；对私：周一至周日8：00-17：00；",0555-2335887
花山支行,马鞍山市解放路2号  [地图],鸿泰新百对面,"对公：周一至周五8：00-1200,14:30-17:00；对私：周一至周日8：00-17：00；",0555-2483438
铜陵七零一分理处,铜陵市狮子山区矶山街道701工厂内  [地图],铜陵车辆厂,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-6803004
铜陵卫民储蓄所,铜陵市义安路与人民三路交汇处  [地图],俪人医院,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2876498
铜陵杨家山储蓄所,铜陵市杨家山路与爱国路交叉口  [地图],第四医院,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2837080
铜陵天桥北路所,铜陵市长江西路161号  [地图],第十中学,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2851260
铜陵红星分理处,铜陵市狮子山区青霞路三叉路口  [地图],狮子山苏果超市,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-6821304
铜陵人民分理处,安徽省铜陵市长江中路219号  [地图],人民电影院,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2821350
铜陵开发区支行,铜陵市开发区翠湖一路3066号  [地图],开发区管委会大楼一楼,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,2562-2688062
铜陵长江路支行,铜陵市长江中路952号  [地图],工会大厦对面,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2810562
铜陵城中支行,安徽省铜陵市长江西路41号  [地图],育和大酒店对面,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2830771
铜陵铜兴储蓄所,铜陵市铜官山区长江西路171号  [地图],有色公司机关,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2864805
铜陵青年储蓄所,铜陵市长江东路(军分区旁)  [地图],军分区旁边,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2837247
铜陵建龙支行,铜陵市石城大道南段143号  [地图],人民银行对面,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2833488
铜陵建汇支行,安徽省铜陵市金山东路85号  [地图],铜商品市场一楼,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-5820402
铜陵横港支行,铜陵市金山西路851号  [地图],六路公交车一冶车站旁,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-3862299
铜陵住房建筑业支行,铜陵市义安北路世纪曙光苑3-7网点  [地图],五松山宾馆对面,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-2827697
铜陵井湖支行,铜陵县五松镇环城东路观湖西苑  [地图],观湖广场西侧,周一至周五对公：8:00-12:00 15:00-17:00 对私8：00-17：00 周六周日 对公休息 对私 8：00-17：00,0562-8814591
银湖路分理处,芜湖市银湖北路9号  [地图],香格里拉花园步行街口；方特公园斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-5886736
申元街分理处,芜湖市黄山西路建工新村8号楼3号门面  [地图],联通公司西侧，老百姓大药房斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3831016
清水分理处,芜湖市清水镇万春大道28号  [地图],清水镇万春大道路口,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-8291060
新时代分理处,芜湖市新时代商业街11栋143－145号  [地图],新时代商业街中段,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-4223277
河南分理处,芜湖市利民路376号  [地图],奥体公园北侧,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-4816242
康复路分理处,芜湖市康复路123号  [地图],宣城地区医院旁边,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-2869879
南瑞分理处,芜湖市利民路南瑞新城商业街二幢12号  [地图],南瑞湖西侧,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-4113720
黄山东路分理处,芜湖市黄山东路二水科技大楼  [地图],行政服务中心西侧,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-2960063
弋江支行,芜湖市弋江区经三路1号  [地图],�赂壅蜃�园大酒店旁边,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3025161
步行街支行,芜湖市步行街粤海大厦一楼西区102号  [地图],新百大厦斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3864377
鸠兹广场支行,芜湖市中山路步行街商贸大厦一楼  [地图],华亿国际中心北侧,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3871106
城东支行,芜湖市赭山东路8号  [地图],安徽工程科技学院西门东侧,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-2863874
三山支行,芜湖市三山区三华路口  [地图],三山商业街中心十字路口,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-7471319
利民路分理处,南陵县利民南路17号  [地图],南陵县五局大楼旁边,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-6824127
南陵支行,南陵县南翔中路68号  [地图],南陵县汽车东站斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-6824123
城关分理处,繁昌县繁阳镇金峨路24号  [地图],繁昌县国税局对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-7871427
繁昌支行,繁昌县繁阳镇迎春路26号  [地图],华侨大酒店斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-7861850
芜湖南路分理处,芜湖县芜湖南路1号  [地图],南天大厦东侧；徽香楼对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-8812647
芜湖支行,芜湖县芜湖中路1号  [地图],芜湖县汽车站对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-8811396
长江大桥支行,芜湖市银湖中路9-5号  [地图],源丰装饰城斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-5877515
中山路支行,芜湖市中山北路78号  [地图],侨鸿大厦对面；凤凰美食街旁边,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3824904
镜湖支行,芜湖市北京东路199号  [地图],广电中心北侧；海螺大酒店南侧,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3118129
黄山路支行,芜湖市鹰都花苑15号楼5号  [地图],九莲塘东侧；鹰都花苑旁边,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3833153
开发区支行,芜湖市港湾路26号  [地图],海螺型材科技股份有限公司大楼旁,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-5843852
赭山路支行,芜湖市九华中路与芜宁路交叉口  [地图],天和苑旁边；香樟花园斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3862639
长江路支行,芜湖市长江南路25-1号  [地图],王家巷小学对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-5877097
九华山路支行,芜湖市九华中路238-2号  [地图],市中医院北侧,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3881351
北京路支行,芜湖市北京西路杰成商业街3幢13-14号  [地图],市公安局西侧；北京路汽车站斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3846761
北门支行,芜湖市九华中路302号  [地图],北门十字路口,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3822652
万春路支行,鸠江区中江大道与万春路交界口南翔万商物流一区2#楼C1119、1120、1121号  [地图],南翔万商市场内,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0553-3889278
安庆市德宽路储蓄所,安徽省安庆市德宽路25号  [地图],解放路口昌立超市,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5552452
安庆市双井街分理处,安徽省安庆市双井街103号  [地图],健康路小学,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5565601
安庆南翔分理处,安庆市开发区光彩大市场四期C区1号楼  [地图],环形天桥3号,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5171128
安庆市皖江女子分理处,安徽省安庆市人民路419号  [地图],安庆供电局,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5523879
安庆宜园支行,安徽省安庆市宜园路菱苑新村1号  [地图],湖滨菜市场,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5365754
安庆蔡山路支行,安徽省安庆市蔡山路1号  [地图],安庆商校,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5574664
安庆城东支行,安庆市华中西路126号  [地图],华中路和棋盘山路交叉处,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5503742
安庆华中路支行,安徽省安庆市湖心南路129号  [地图],长途汽车站，五金市场,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5562542、5566261
安庆宜秀支行,安庆市宜秀区大龙山镇永林村  [地图],安庆大学,周一至周五对公：8:30-12:00 15:00-17:00对私：8:30-17:30周六日对私：8:30-17:30,0556-5263257
安庆市中宜支行,安徽省安庆市孝肃路中宜商厦东1号  [地图],吴越街中宜商厦,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5517824
安庆市光彩分理处,安庆光彩大市场3期商务区21－23号  [地图],光彩大市场中心,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5016958
安庆开发区支行,安庆市湖心路与回详路叉口  [地图],安庆九中,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5339443、5337323
安庆城中支行,安庆市孝肃路241号（原185号）  [地图],龙山路金融大楼,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5573017、5569569
安庆集贤路支行,安庆市集贤路1号  [地图],柏子桥口,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5526401、5539362
安庆安庆石化支行,安徽省安庆市集贤南路241号  [地图],石化天桥,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-5329864
安庆岳西支行,安徽省岳西县建设路54号  [地图],岳西县供电局,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-2172461
安庆望江支行,望江县雷阳镇东洲路20#  [地图],望江县人民银行,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-7171419
安庆宿松县支行曙光分理处,宿松县孚玉镇宿松路  [地图],宿松汽车站,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-7821236
安庆宿松支行,宿松县孚玉镇人民路179号  [地图],宿松县电影院,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-7821296
安庆太湖支行,安徽省太湖县新城建设路68号  [地图],太湖中学,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-4165713
安庆潜山县梅城分理处,潜山县东街路57号  [地图],潜山县粮食局,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-8921017
安庆潜山支行,潜山县舒州东路11号  [地图],皖城商厦,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-8923155
安庆桐城市支行新渡分理处,桐城市新渡镇羊子路口  [地图],姚坂路路口,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-6810780
安庆桐城市支行广场分理处,桐城市龙 眠路广电局隔壁  [地图],桐城市广电局,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-6121798
安庆桐城市支行六尺巷分理处,桐城市羊子路口  [地图],龙安广场,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-6128484
安庆桐城支行,桐城市同安路281号  [地图],太阳城,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-6202017
安庆枞阳县支行商城储蓄所,安徽省枞阳县枞阳镇湖滨西路20-13号  [地图],枞阳县供电局,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-2814571
安庆枞阳支行,安徽省枞阳县枞阳镇渡江路27号  [地图],枞阳县移动公司,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-2814837
安庆怀宁县支行建新分理处,安徽省怀宁县石牌镇皖河大道51号  [地图],石牌大酒店,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-4821416
安庆怀宁支行,安徽省怀宁县高河镇稼仙路中段  [地图],怀宁县人民银行,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0556-4634342
黟县支行,黟县马道路80-8号  [地图],烟草大厦，农业银行附近,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-5522392
徽州支行,皖黄山市徽州区永佳大道405号  [地图],永华御园小区,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-3511350
黄山风景区支行,黄山市汤口镇沿溪街  [地图],汤口镇沿溪街店铺、黄山旅游股份大楼斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-5562995
休宁支行,休宁县萝宁街新宁广场17－2号  [地图],新宇假日酒店对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-7513955
歙县支行徽城分理处,黄山市歙县新安路8号  [地图],歙县鸿基商贸城,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-6537630
歙县支行,黄山市歙县新安路45-9号  [地图],歙县新安学校对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-6512046
祁门支行,黄山市祁门县中心北路57号  [地图],五交化大楼,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-4512257
黄山支行北海分理处,黄山区北海北路85号  [地图],昌盛市场,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-8532316
黄山支行,黄山区平湖西路  [地图],中通广场,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-8533496
经济开发区支行,黄山市经济开发区梅林大道50号  [地图],经济开发区管委会大楼,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-2552238
黄山西路支行,黄山市屯溪区黄山西路43号  [地图],商贸城路口,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-2520388
天都支行,黄山市屯溪区股份大道黄山报业大楼一楼  [地图],黄山报业大楼、世贸绿洲小区、君悦华府小区、天一国际,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-2515235
延安路支行,黄山市屯溪区延安路30号  [地图],华山宾馆、东方假日酒店、黄山市现代实验小学,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-2513394
屯溪支行,黄山市屯溪区新安南路3号  [地图],元一大观、阳光绿水小区、锦绣江南小区,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-2353280
市分行营业部,黄山市屯溪区前园南路2号  [地图],徽州大剧院、华联超市、明珠酒店,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30周六日对私：周六、周日  8:00-17:30,0559-2513158
颍东区支行,阜阳市颍河东路328号  [地图],烟厂对面,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-2312201
颍泉区支行营业部,阜阳市颍州北路86号  [地图],大戏院西对面,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-2253437
能源交通支行,阜阳市北京东路288号  [地图],火车站西,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-2324917
颍上支行商厦储蓄所,颍上县爱心北路  [地图],翠林大酒店对面,周一至周日8：30－17：30,0558-4412220
颍上支行营业部,颍上县城关镇解放北路  [地图],帝皇商贸对面,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-4412586
临泉车站分理处,临泉县同阳路25号  [地图],临泉水利局隔壁,周一至周日8：30－17：30,0558-6512173
临泉支行营业部,临泉县光明南路71号  [地图],临泉四中旁边,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-6512123
阜阳经济技术开发区支行,经济技术开发区商业街一号楼  [地图],上海大花园隔壁,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-2221763
阜阳颍州支行,阜阳市二环路与阜王路交叉口  [地图],蓝色雅典东面,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-2269974
鼓楼支行,阜阳市人民西路  [地图],鼓楼广场,周一至周日8：30－17：30,0558-2267288
阜阳金茂支行,阜阳自来水公司对面  [地图],港利金茂广场,周一至周日8：30－17：30,0558-2264449
颍上南路分理处,阜阳市颍上南路121号  [地图],商厦儿童购物中心北面,周一至周日8：30－17：30,0558-2265829
师院分理处,阜阳市清河河西路  [地图],香格里拉小区门口,周一至周日8：30－17：30,0558-2561050
清颍分理处,阜阳汽车南站  [地图],五交化门口,周一至周日8：30－17：30,0558-2185353
鑫鹰分理处,阜阳市颍河西路  [地图],市人民医院东,周一至周日8：30－17：30,0558-2182067
清河分理处,阜阳市清河路22号  [地图],清河广场对面,周一至周日8：30－17：30,0558-2251454
二里井支行,阜阳市清河路与颍州路交叉口  [地图],白金汉宫对面,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-2187480
阜阳幸福支行,阜阳市向阳路135号  [地图],二处立交桥对面,周一至周日8：30－17：30,0558-2325180
花园支行,阜阳市颍州北路217号  [地图],国贸商城斜对面,周一至周日8：30－17：30,0558-2265952
建颍分理处,阜阳市颍上路94号  [地图],阜阳商厦南,周一至周日8：30－17：30,0558-2267073
太和支行车站分理处,太和县人民中路13号  [地图],富达商场斜对面,周一至周日8：30－17：30,0558-8624939
太和支行人民路分理处,太和县人民中路153号  [地图],大戏院对面,周一至周日8：30－17：30,0558-8622235
太和支行营业部,太和县镜湖中路46号  [地图],民政局对面,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-8623401
阜南支行银鹏储蓄所,阜南县地城北路17号  [地图],新文化大世界隔壁,周一至周日8：30－17：30,0558-6715813
阜南支行淮河西路储蓄所,阜南县淮河西路3号  [地图],国际大酒店对面,周一至周日8：30－17：30,0558-6713685
阜南支行营业部,阜南城关镇谷河路59号  [地图],水厂隔壁,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-6712137
界首支行富源分理处,界首市人民东路  [地图],供电局隔壁,周一至周日8：30－17：30,0558-4811603
界首支行利民储蓄所,界首市解放四大街1号  [地图],界首一中旁边,周一至周日8：30－17：30,0558-4812818
界首支行营业部,界首市中原东路10号  [地图],人寿保险公司对面,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-4886614
营业部,阜阳市颍州中路188号  [地图],文峰宾馆隔壁,对私：周一至周日8：30－17：30 对公：8:30-11:30 14:30-17:30  周六、周日休息,0558-2287609
宿州沱河支行,宿州市东关三十三处  [地图],三十三处、三十三处医院,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3310424
宿州财富广场支行,宿州市汴河中路363号  [地图],华安证券公司,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3025605
灵璧支行,灵璧县城西关桥头北侧  [地图],西关桥头,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-6022481
宿州科技广场支行,宿州市汴河中路152号  [地图],商之都、市委党校、市分行本部一楼,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3052204
宿州宿东支行,宿州市汴河东路144号  [地图],小区、公交站点,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3313360
宿州墉桥支行,宿州市胜利路462号  [地图],宿州宾馆、邮政局、支行本部一楼,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3026407
宿州煤炭支行,宿州市浍水西路185号  [地图],皖北矿务局、支行本部一楼,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3913841
宿州建业支行,宿州市宿怀北路东关大街路口  [地图],火车站,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3028053
宿州建龙支行,宿州市淮海路49号  [地图],华夏商城北,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3059841
萧县城关分理处,萧县龙城镇交通路中段  [地图],华安证券公司,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-5023787
砀山老城分理处,砀城人民西路194号  [地图],二中、县医院东200米,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3021361
宿州三勘支行,宿州市北关勘探队  [地图],勘探队,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3030521
宿州浍水路支行,宿州市浍水中路340号  [地图],宿州二中,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3919174
宿州东城支行,宿州市汴河东路527号  [地图],欣欣饭店,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3319726
萧县黄口支行,萧县黄口镇人民路28号  [地图],苏果超市,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-5667015
萧县马云桥分理处,萧县龙城镇交通路西段  [地图],农贸市场、种子公司,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-5023685
砀山道北分理处,砀山县生资公司楼下  [地图],全友家具,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-8022314
宿州任楼支行,濉溪县任楼煤矿  [地图],煤矿工人村,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3984283
宿州胜利路支行,宿州市胜利路314号  [地图],一小,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3024314
宿州市祁县支行,宿州市祁县镇古城路  [地图],煤矿工人村,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-2656239
宿州芦岭支行,宿州市芦岭镇中心路中段  [地图],煤矿工人村,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-5876242
宿州光彩支行,宿州市光彩城  [地图],光彩城,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-3651311
泗县支行,泗县国防路57号  [地图],汽车站东100米,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-7022812
砀山支行营业部,砀山县人民东路4号(梨都大厦楼下)  [地图],梨都大厦、支行本部一楼,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-8021514
萧县支行营业部,萧县龙城镇淮海东路4号  [地图],萧县宾馆、支行本部一楼,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0557-5022607
四牌楼支行,滁州市南谯北路534-536号  [地图],南桥头，实验小学北侧,周一至周日对私：8:00-17:30,0550－3523290
广场支行,滁州市凤凰路424号  [地图],人保财险大厦对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0550-3067718
建业支行,滁州市明光路142号  [地图],二中斜对面,周一至周五对公：8:00-12:00 14:30-17:30对私：8:00-17:30对私：周六、周日不休息,0550-3027635
天长千秋分理处,天长市建设西路76号  [地图],实验中学西侧,周一至周日对私：8:00-17:30,0550-7021781
